arm,outcome,ate_pp,se_pp,n_arm,n_control,control_mean_pp,outcome_sd_pp,p,p_bh
System Preservation Framing,Companies_Post,1.4433464236310671,0.42251188221102803,1015,3056,70.89528795811518,27.587562636289984,0.0006352293623561218,0.0015880734058903046
Warmth Framing,Companies_Post,-0.46267437250716925,0.42568261544571423,995,3056,70.89528795811518,27.587562636289984,0.27708107093475765,0.322467857762275
Binding Framing,IntentNp_Post,0.10507410811285635,0.3701823340901334,1030,3040,54.5203399122807,24.448950258038447,0.7765297809961378,0.7964408010216798
Consensus Framing 1,IntentNp_Post,0.8804653102830197,0.37125420023652816,1022,3040,54.5203399122807,24.448950258038447,0.017711401816231143,0.028916574393846765
Consensus Framing 2,IntentNp_Post,1.367021784430151,0.3723506894898933,1014,3040,54.5203399122807,24.448950258038447,0.00024129274807592975,0.0007424392248490146
Dire But Solvable Framing,IntentNp_Post,1.5595547324827992,0.37166315543307205,1019,3040,54.5203399122807,24.448950258038447,2.714892444783582e-05,0.00012775964446040387
Free Market Framing,IntentNp_Post,1.3816345919360855,0.3722106456789114,1015,3040,54.5203399122807,24.448950258038447,0.00020565271296913397,0.0006580886815012286
Gains Framing,IntentNp_Post,1.4857092326567731,0.3745796832985051,998,3040,54.5203399122807,24.448950258038447,7.298566860432792e-05,0.00025386319514548837
High Social Distance Framing,IntentNp_Post,0.905259391785958,0.3724861088098792,1013,3040,54.5203399122807,24.448950258038447,0.01508561431865565,0.025181052509488645
Purity Framing,IntentNp_Post,1.2313516976444245,0.37318472271289965,1008,3040,54.5203399122807,24.448950258038447,0.0009683068745519752,0.0022132728561188005
System Preservation Framing,IntentNp_Post,2.188298406245207,0.3721073995970708,1016,3040,54.5203399122807,24.448950258038447,4.082272080902761e-09,5.4430294412036814e-08
Warmth Framing,IntentNp_Post,0.5723542058992676,0.3755768258263908,991,3040,54.5203399122807,24.448950258038447,0.12752525800237643,0.15940657250297055
